ProjectId;depVarName';indepVarName;b;se;t;pvalue;dfl;dfu;Nobs;F;Prob>F;RMSE;R2;RSS;MSS;train_rmse;train_mae;train_mape;valid_rmse;valid_mae;valid_mape;
1;Issues;Polarity_Score;14.817427;2.3996619;6.1747976;1.258e-07;9.9951254;19.639728;49;45.604777;1.937e-08;21.950946;.67028794;22646.67;46039.534;29.008802;19.079029;88.317039;21.740265;18.683094;43.432625;
1;Reporters;Polarity_Score;1.0263224;.36027398;2.8487276;.00640015;.30232477;1.7503201;51;8.1152491;.00640015;3.2243874;.32301609;509.43703;243.07277;3.1605318;2.5702369;51.780067;3.3496505;2.3120689;26.601559;
1;Assignees;Polarity_Score;.83982282;.19433739;4.321468;.00007558;.44928721;1.2303584;51;18.675086;.00007558;2.6027743;.32900079;331.94726;162.75863;2.5512291;2.1063092;51.060963;2.213191;1.7382551;20.266895;
1;In_Progress_Minutes;Polarity_Score;.0493242;.01697664;2.9054163;.00549057;.01520837;.08344003;50;8.6780749;.00495595;.15636889;.28838803;1.1736591;.47563736;.18879878;.11931687;876.80896;.13320951;.1142465;258.00116;
1;Resolution_Time_Minutes;Polarity_Score;.07416726;.02266937;3.2716951;.00196206;.02861146;.11972305;49;57.802071;1.003e-09;.11951713;.60714983;.67136424;1.0375932;.15494422;.10657001;309.95663;.14055552;.11595651;729.37451;
1;Completed_Issues;Polarity_Score;14.816695;2.384795;6.2129849;1.098e-07;10.02427;19.60912;49;45.809703;1.837e-08;21.834939;.67353165;22407.935;46229.453;28.731863;18.91114;87.588341;21.76439;18.690842;43.342419;
1;Story_Points;Polarity_Score;54.344914;12.415046;4.3773428;.00006291;29.395944;79.293883;50;20.154506;.00004475;95.244816;.5644194;435435.6;564231.52;110.56908;78.883224;160.7921;95.698588;75.784859;53.950863;
1;Total_Effort_Minutes;Polarity_Score;.04847271;.01703108;2.8461333;.00644495;.01424748;.08269794;50;8.32588;.00583923;.15782582;.2774385;1.1956315;.45908092;.18902753;.11840046;501.26425;.11935051;.10677849;205.80867;
1;Bugs;Polarity_Score;3.863084;.77013506;5.0161124;7.320e-06;2.3154397;5.4107284;50;29.874056;1.624e-06;8.8681709;.39651462;3774.9338;2480.2862;11.537287;7.3619757;150.19931;5.8766542;4.9222221;64.215477;
1;Stories;Polarity_Score;7.4772716;1.1109808;6.730334;1.736e-08;5.2446722;9.7098711;50;54.868191;1.751e-09;15.499794;.55278413;11531.694;14253.826;18.170911;12.538484;112.31293;19.826503;15.149266;56.543739;
1;Improvements;Polarity_Score;3.3135092;1.1419387;2.9016526;.00554702;1.0186976;5.6083209;49;8.7245863;.00489075;7.090734;.34649062;2363.0899;1252.9101;9.4044017;5.294383;150.15115;4.4750288;3.1642797;171.47299;
1;Technical_Tasks;Polarity_Score;.16907398;.131175;1.2889192;.20347822;-.09453206;.43268002;50;1.090607;.30156778;1.5478624;.01606646;115.00215;1.8778482;1.7237108;1.1352664;.;1.7997014;1.0250642;.;
